canonical_channel_name,display_name,category,stream_url,final_url,source_name,source_page,source_domain,source_file,source_line,status,http_status,content_type,manifest_type,channel_identity_verified,is_primary,fallback_number,is_tokenized,token_expiry,requires_login,requires_referer,referer,requires_user_agent,user_agent,tested_from_bdix,tested_at,notes
9XM,9XM,General,http://bdiptv.net:8080/9XM/tracks-v1a1/mono.m3u8,http://bdiptv.net:8080/9XM/tracks-v1a1/mono.m3u8,bd-playlist-test-results.csv,,bdiptv.net:8080,bdix-bangladesh-working.csv,,OFFLINE,Network Error,,,NO,NO,,NO,,NO,NO,,NO,,Y,2026-08-20T14:03:13,
ATN Bangla,ATN Bangla,General,http://tvsen5.aynaott.com/atnbangla/index.m3u8,http://tvsen5.aynaott.com/atnbangla/index.m3u8,bd-playlist-test-results.csv,,tvsen5.aynaott.com,reports\bd-playlist-test-results.csv,,WORKING,200,application/vnd.apple.mpegurl,HLS,URL/MANIFEST,YES,,NO,,NO,NO,,NO,,Y,2026-08-20T14:01:06,
ATN Bangla,ATN Bangla,General,http://tvsen5.aynascope.net/atnbangla/index.m3u8,http://tvsen5.aynascope.net/atnbangla/index.m3u8,bd-playlist-test-results.csv,,tvsen5.aynascope.net,bdix-bangladesh-working.csv,,WORKING,200,application/vnd.apple.mpegurl,HLS,URL/MANIFEST,NO,1,NO,,NO,NO,,NO,,Y,2026-08-20T14:01:06,
ATN Bangla,ATN Bangla,General,http://27.147.156.14:1935/ATN-Bangla/ATN-Bangla.stream/playlist.m3u8,http://27.147.156.14:1935/ATN-Bangla/ATN-Bangla.stream/playlist.m3u8,bd-playlist-test-results.csv,,27.147.156.14:1935,reports\bd-playlist-test-results.csv,,OFFLINE,Network Error,,,NO,NO,,NO,,NO,NO,,NO,,Y,2026-08-20T14:01:18,
ATN Bangla,ATN Bangla,General,http://bdiptv.net:8080/ATNBangla/tracks-v1a1/mono.m3u8,http://bdiptv.net:8080/ATNBangla/tracks-v1a1/mono.m3u8,bdix-bangladesh-working.csv,,bdiptv.net:8080,bdix-bangladesh-working.csv,,OFFLINE,Network Error,,,NO,NO,,NO,,NO,NO,,NO,,Y,2026-08-20T14:01:20,
ATN Bangla,ATN Bangla,General,http://bdiptv.net:8080/ATNBangla/tracks-v1a1/mono.m3u8?token=e837c0ecd2fd40a8ac024310fb52d32f15f16fe2-f5df9af35f9842589936263e5f3cc96f-1629050874-1629040074,http://bdiptv.net:8080/ATNBangla/tracks-v1a1/mono.m3u8?token=e837c0ecd2fd40a8ac024310fb52d32f15f16fe2-f5df9af35f9842589936263e5f3cc96f-1629050874-1629040074,bd-playlist-test-results.csv,,bdiptv.net:8080,reports\bd-playlist-test-results.csv,,OFFLINE,Network Error,,,NO,NO,,YES,,NO,NO,,NO,,Y,2026-08-20T14:01:08,
ATN Islamic TV,ATN Islamic TV,General,http://bdiptv.net:8080/ATNIslamic/tracks-v1a1/mono.m3u8?token=7642bd34cd6f02354b10a62a73c2b9fa5053984f-8f8aa6e150fc7be5e4b5c3e2041fb751-1629038379-1629027579,http://bdiptv.net:8080/ATNIslamic/tracks-v1a1/mono.m3u8?token=7642bd34cd6f02354b10a62a73c2b9fa5053984f-8f8aa6e150fc7be5e4b5c3e2041fb751-1629038379-1629027579,bd-playlist-test-results.csv,,bdiptv.net:8080,reports\bd-playlist-test-results.csv,,OFFLINE,Network Error,,,NO,NO,,YES,,NO,NO,,NO,,Y,2026-08-20T14:02:38,
ATN Music,ATN Music,General,http://bdiptv.net:8080/ATNMusic/tracks-v1a1/mono.m3u8?token=e14ad3b0039d83ca9c4d066512571791c4bdbe2b-61a949d6d2b0a18c096858aeb70a8415-1629037677-1629026877,http://bdiptv.net:8080/ATNMusic/tracks-v1a1/mono.m3u8?token=e14ad3b0039d83ca9c4d066512571791c4bdbe2b-61a949d6d2b0a18c096858aeb70a8415-1629037677-1629026877,bd-playlist-test-results.csv,,bdiptv.net:8080,reports\bd-playlist-test-results.csv,,OFFLINE,Network Error,,,NO,NO,,YES,,NO,NO,,NO,,Y,2026-08-20T14:02:36,
ATN Music,ATN Music,General,https://app.ncare.live/c3VydmVyX8RpbEU9Mi8xNy8yMDE0GIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PTOmdFsaWRtaW51aiPhnPTI/atnmusic.stream/playlist.m3u8,https://app.ncare.live/c3VydmVyX8RpbEU9Mi8xNy8yMDE0GIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PTOmdFsaWRtaW51aiPhnPTI/atnmusic.stream/playlist.m3u8,bd-playlist-test-results.csv,,app.ncare.live,bdix-bangladesh-working.csv,,OFFLINE,404,application/vnd.apple.mpegurl,,NO,NO,,NO,,NO,NO,,NO,,Y,2026-08-20T14:02:34,
ATN News,ATN News,News,http://103.175.242.10:8080/19-Atnnews/tracks-v1a1/mono.m3u8,http://103.175.242.10:8080/19-Atnnews/tracks-v1a1/mono.m3u8,Recent public Bangladesh index,https://github.com/subirkumarpaul/Subirmaxpro/blob/main/Subirmaxpro,103.175.242.10:8080,,,OFFLINE,,,,SOURCE_CLAIM,NO,,NO,,NO,NO,,NO,,YES,2026-08-20T14:26:44,"Public/open candidate only. No credential, cookie, DRM, MAC/device, or subscription bypass used. Public reachability does not establish redistribution rights."
ATN News,ATN News,News,http://27.147.156.14:1935/ATN-News/ATN-News.stream/playlist.m3u8,http://27.147.156.14:1935/ATN-News/ATN-News.stream/playlist.m3u8,bd-playlist-test-results.csv,,27.147.156.14:1935,reports\bd-playlist-test-results.csv,,OFFLINE,Network Error,,,NO,NO,,NO,,NO,NO,,NO,,Y,2026-08-20T14:00:18,
ATN News,ATN News,News,http://bapatv.live:8080/atnnews/index.m3u8,https://franceindividuelle.nl/,Public BDIX list,https://t.me/s/bdixlink?before=1130,bapatv.live:8080,,,HTML_ONLY,200,text/html; charset=UTF-8,,SOURCE_CLAIM,NO,,NO,,NO,NO,,NO,,YES,2026-08-20T14:26:46,"Public/open candidate only. No credential, cookie, DRM, MAC/device, or subscription bypass used. Public reachability does not establish redistribution rights."
ATN News,ATN News,News,http://bdiptv.net:8080/ATNNews/tracks-v1a1/mono.m3u8,http://bdiptv.net:8080/ATNNews/tracks-v1a1/mono.m3u8,BDIPTV,,bdiptv.net:8080,bdix-bangladesh-working.csv,,OFFLINE,Network Error,,,NO,NO,,NO,,NO,NO,,NO,,Y,2026-08-20T14:00:06,Retained offline candidate.
ATN News,ATN News,News,http://bdiptv.net:8080/ATNNews/tracks-v1a1/mono.m3u8?token=ad90275e8c90c9d538ba0cf3044d5d3bf2c58c91-dccb8dca6705845fd340a8bed5e353db-1629037499-1629026699,http://bdiptv.net:8080/ATNNews/tracks-v1a1/mono.m3u8?token=ad90275e8c90c9d538ba0cf3044d5d3bf2c58c91-dccb8dca6705845fd340a8bed5e353db-1629037499-1629026699,bd-playlist-test-results.csv,,bdiptv.net:8080,reports\bd-playlist-test-results.csv,,OFFLINE,Network Error,,,NO,NO,,YES,,NO,NO,,NO,,Y,2026-08-20T14:00:08,
ATN News,ATN News,News,http://tvsen5.aynaott.com/atnnews/index.m3u8,http://tvsen5.aynaott.com/atnnews/index.m3u8,bd-playlist-test-results.csv,,tvsen5.aynaott.com,reports\bd-playlist-test-results.csv,,OFFLINE,404,,,NO,NO,,NO,,NO,NO,,NO,,Y,2026-08-20T14:00:06,
ATN News,ATN News,News,https://cdn.appv.jagobd.com:444/c3VydmVyX8RpbEU9Mi8xNy8yMDE0GIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PTOmdFsaWRtaW51aiPhnPTI/atnws-sg.stream/playlist.m3u8,https://cdn.appv.jagobd.com:444/c3VydmVyX8RpbEU9Mi8xNy8yMDE0GIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PTOmdFsaWRtaW51aiPhnPTI/atnws-sg.stream/playlist.m3u8,Public IPTV index,https://github.com/mayaxcn/getM3U8/blob/master/tv.txt,cdn.appv.jagobd.com:444,,,OFFLINE,,,,SOURCE_CLAIM,NO,,NO,,NO,NO,,NO,,YES,2026-08-20T14:15:55,Public/open candidate added for local testing. No authentication bypass used. Redistribution/hosting rights are not established; do not publish solely because it is reachable.
ATN News,ATN News,News,https://d10rltuy0iweup.cloudfront.net/ATNNEWS/myStream/playlist.m3u8,https://d10rltuy0iweup.cloudfront.net/ATNNEWS/myStream/playlist.m3u8,Public IPTV index,https://github.com/mayaxcn/getM3U8/blob/master/tv.txt,d10rltuy0iweup.cloudfront.net,,,RESTRICTED,403,,,SOURCE_CLAIM,NO,,NO,,NO,NO,,NO,,YES,2026-08-20T14:15:55,Public/open candidate added for local testing. No authentication bypass used. Redistribution/hosting rights are not established; do not publish solely because it is reachable.
ATN News,ATN News,News,https://edge01.iptv.digijadoo.net/live/atn_news/chunks.m3u8,https://edge01.iptv.digijadoo.net/live/atn_news/chunks.m3u8,Public IPTV index,https://gist.github.com/omarufulislam/27f0da73500141749490506d6c9c24cd,edge01.iptv.digijadoo.net,,,OFFLINE,,,,SOURCE_CLAIM,NO,,NO,,NO,NO,,NO,,YES,2026-08-20T14:26:34,"Public/open candidate only. No credential, cookie, DRM, MAC/device, or subscription bypass used. Public reachability does not establish redistribution rights."
Ananda TV,Ananda TV,General,http://103.99.249.139/anandatv/index.m3u8,http://103.99.249.139/anandatv/index.m3u8,Direct/IP,,103.99.249.139,bdix-bangladesh-working.csv,,OFFLINE,Network Error,,,NO,NO,,NO,,NO,NO,,NO,,Y,2026-08-20T13:59:57,Previously failed.
